entry_time,exit_time,symbol,side,entry_price,tp,sl,exit_price,result,pnl,win,duration_min,hour,day_of_week
2023-08-18 08:31:00,2023-08-18 09:08:00,USDJPY,sell,145.669,145.519,145.769,145.519,win,37.5,True,37.0,8,Friday
2023-08-18 09:42:00,2023-08-18 09:50:00,USDJPY,sell,145.444,145.294,145.544,145.294,win,37.5,True,8.0,9,Friday
2023-08-18 09:58:00,2023-08-18 10:27:00,USDJPY,sell,145.333,145.183,145.433,145.183,win,37.5,True,29.0,9,Friday
2023-08-18 10:01:00,2023-08-18 10:41:00,USDJPY,sell,145.301,145.151,145.401,145.401,loss,-25.0,False,40.0,10,Friday
2023-08-18 10:07:00,2023-08-18 10:41:00,USDJPY,sell,145.301,145.151,145.401,145.401,loss,-25.0,False,34.0,10,Friday
2023-08-18 10:16:00,2023-08-18 10:41:00,USDJPY,sell,145.3,145.15,145.4,145.4,loss,-25.0,False,25.0,10,Friday
2023-08-18 10:45:00,2023-08-18 10:56:00,USDJPY,sell,145.343,145.193,145.443,145.193,win,37.5,True,11.0,10,Friday
2023-08-21 08:16:00,2023-08-21 08:29:00,USDJPY,sell,145.885,145.735,145.985,145.985,loss,-25.0,False,13.0,8,Monday
2023-08-21 08:21:00,2023-08-21 08:25:00,USDJPY,sell,145.864,145.714,145.964,145.964,loss,-25.0,False,4.0,8,Monday
2023-08-22 07:55:00,2023-08-22 08:33:00,USDJPY,sell,145.769,145.619,145.869,145.869,loss,-25.0,False,38.0,7,Tuesday
2023-08-22 08:00:00,2023-08-22 08:27:00,USDJPY,sell,145.735,145.585,145.835,145.835,loss,-25.0,False,27.0,8,Tuesday
2023-08-22 08:09:00,2023-08-22 08:33:00,USDJPY,sell,145.768,145.618,145.868,145.868,loss,-25.0,False,24.0,8,Tuesday
2023-08-22 08:16:00,2023-08-22 08:33:00,USDJPY,sell,145.758,145.608,145.858,145.858,loss,-25.0,False,17.0,8,Tuesday
2023-08-22 08:17:00,2023-08-22 08:27:00,USDJPY,sell,145.73,145.58,145.83,145.83,loss,-25.0,False,10.0,8,Tuesday
2023-08-22 08:57:00,2023-08-22 09:02:00,USDJPY,sell,145.923,145.773,146.023,146.023,loss,-25.0,False,5.0,8,Tuesday
2023-08-22 10:45:00,2023-08-22 11:17:00,USDJPY,sell,145.908,145.758,146.008,145.758,win,37.5,True,32.0,10,Tuesday
2023-08-23 08:13:00,2023-08-23 08:39:00,USDJPY,sell,145.476,145.326,145.576,145.576,loss,-25.0,False,26.0,8,Wednesday
2023-08-23 08:18:00,2023-08-23 08:40:00,USDJPY,sell,145.486,145.336,145.586,145.586,loss,-25.0,False,22.0,8,Wednesday
2023-08-23 08:19:00,2023-08-23 09:06:00,USDJPY,sell,145.495,145.345,145.595,145.345,win,37.5,True,47.0,8,Wednesday
2023-08-23 08:50:00,2023-08-23 08:54:00,USDJPY,sell,145.44,145.29,145.54,145.54,loss,-25.0,False,4.0,8,Wednesday
2023-08-23 08:58:00,2023-08-23 09:10:00,USDJPY,sell,145.459,145.309,145.559,145.309,win,37.5,True,12.0,8,Wednesday
2023-08-23 09:20:00,2023-08-23 09:33:00,USDJPY,sell,145.239,145.089,145.339,145.089,win,37.5,True,13.0,9,Wednesday
2023-08-23 09:32:00,2023-08-23 09:45:00,USDJPY,sell,145.129,144.979,145.229,144.979,win,37.5,True,13.0,9,Wednesday
2023-08-23 09:33:00,2023-08-23 09:40:00,USDJPY,sell,145.11,144.96,145.21,145.21,loss,-25.0,False,7.0,9,Wednesday
2023-08-24 07:48:00,2023-08-24 07:56:00,USDJPY,sell,145.556,145.406,145.656,145.656,loss,-25.0,False,8.0,7,Thursday
2023-08-24 08:09:00,2023-08-24 08:30:00,USDJPY,sell,145.707,145.557,145.807,145.807,loss,-25.0,False,21.0,8,Thursday
2023-08-24 08:17:00,2023-08-24 08:37:00,USDJPY,sell,145.735,145.585,145.835,145.835,loss,-25.0,False,20.0,8,Thursday
